,0,1,2,3,4,5,6,7,8,9
0,329,0,0,0,0,0,0,0,0,0
1,0,335,0,0,0,0,0,0,0,0
2,0,0,320,0,0,0,0,0,0,0
3,0,0,0,336,0,0,0,0,0,0
4,0,0,0,0,340,0,0,0,0,0
5,0,0,0,0,0,345,0,0,0,0
6,0,0,0,0,0,0,376,0,0,0
7,0,0,0,0,0,0,0,344,0,0
8,0,0,0,0,0,0,0,0,338,0
9,0,0,0,0,0,0,0,0,1,336
