accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,lr
0.8492646813392639,0.48238182067871094,0.4847058951854706,2.1291942596435547,0.0010000000474974513,1,
0.9597794413566589,0.11924685537815094,0.9279412031173706,0.23108550906181335,0.0010000000474974513,2,
0.9772058725357056,0.07205848395824432,0.9952940940856934,0.018887696787714958,0.0010000000474974513,3,
0.9833823442459106,0.05152152478694916,0.9938235282897949,0.018179679289460182,0.0010000000474974513,4,
0.9861029386520386,0.04371005669236183,0.99647057056427,0.01213807612657547,0.0010000000474974513,5,
0.9854411482810974,0.04475751891732216,0.9958823323249817,0.013234543614089489,0.0010000000474974513,6,
0.9891911745071411,0.035606902092695236,0.9967647194862366,0.015017496421933174,0.0010000000474974513,7,
0.9914705753326416,0.02633030340075493,0.9979411959648132,0.007915661670267582,0.0010000000474974513,8,
0.9923529624938965,0.02534027025103569,0.9976470470428467,0.010469354689121246,0.0010000000474974513,9,
0.9906617403030396,0.028595658019185066,0.9970588088035583,0.009087326005101204,0.0010000000474974513,10,
0.9950000047683716,0.019176173955202103,0.9985294342041016,0.0068680052645504475,0.0010000000474974513,11,
0.9924264550209045,0.022474512457847595,0.9976470470428467,0.007890729233622551,0.0010000000474974513,12,
0.9940441250801086,0.01988115906715393,0.9973529577255249,0.0098422197625041,0.0010000000474974513,13,
0.994705855846405,0.017959853634238243,0.9967647194862366,0.010336240753531456,0.0010000000474974513,14,
0.9955146908760071,0.012586899101734161,0.9988235235214233,0.006399676203727722,0.0005000000237487257,15,
0.9975000023841858,0.009107690304517746,0.9985294342041016,0.0049834055826067924,0.0005000000237487257,16,
0.9957352876663208,0.012239164672791958,0.9988235235214233,0.006113968789577484,0.0005000000237487257,17,
0.996397078037262,0.00995821226388216,0.9988235235214233,0.0038507822901010513,0.0005000000237487257,18,
0.9980146884918213,0.00636161956936121,0.9994117617607117,0.003108498640358448,0.0002500000118743628,19,
0.9980146884918213,0.00683246087282896,0.9994117617607117,0.0028966490644961596,0.0002500000118743628,20,
0.998235285282135,0.005548318848013878,0.9991176724433899,0.0032017258927226067,0.0002500000118743628,21,
0.9987499713897705,0.006211318541318178,0.9994117617607117,0.002771100727841258,0.0002500000118743628,22,
0.9986029267311096,0.005007266066968441,0.9991176724433899,0.002581278095021844,0.0001250000059371814,23,
0.9979411959648132,0.006101793609559536,0.9991176724433899,0.002442611614242196,0.0001250000059371814,24,
0.998235285282135,0.005162214394658804,0.9994117617607117,0.002553017809987068,0.0001250000059371814,25,
0.9986029267311096,0.0038677772972732782,0.9994117617607117,0.0020972902420908213,6.25000029685907e-05,26,
0.9991176724433899,0.0037778522819280624,0.9997059106826782,0.0018170715775340796,6.25000029685907e-05,27,
0.9990441203117371,0.0038384459912776947,0.9994117617607117,0.0028286052402108908,6.25000029685907e-05,28,
0.9988970756530762,0.004786304198205471,0.9994117617607117,0.0028500419575721025,6.25000029685907e-05,29,
0.9990441203117371,0.002731727436184883,0.9994117617607117,0.00257313484326005,6.25000029685907e-05,30,
0.9990441203117371,0.003770655719563365,0.9994117617607117,0.0026393018197268248,3.125000148429535e-05,31,
0.9991176724433899,0.0027764698024839163,0.9994117617607117,0.00244931410998106,3.125000148429535e-05,32,
0.9994117617607117,0.0028526103124022484,0.9994117617607117,0.0022489954717457294,3.125000148429535e-05,33,
0.9991176724433899,0.0031321141868829727,0.9994117617607117,0.0023023111280053854,1.5625000742147677e-05,34,
0.999191164970398,0.002596489619463682,0.9994117617607117,0.002439826726913452,1.5625000742147677e-05,35,
0.9994117617607117,0.002341499552130699,0.9994117617607117,0.002571724820882082,1.5625000742147677e-05,36,
0.9994853138923645,0.002652716590091586,0.9994117617607117,0.0025618362706154585,7.812500371073838e-06,37,
0.9993382096290588,0.0029212208464741707,0.9994117617607117,0.002522772876545787,7.812500371073838e-06,38,
0.9994117617607117,0.0022518231999129057,0.9994117617607117,0.0025235454086214304,7.812500371073838e-06,39,
0.9991176724433899,0.0029888770077377558,0.9994117617607117,0.0025340705178678036,3.906250185536919e-06,40,
0.9991176724433899,0.0030954661779105663,0.9994117617607117,0.002566991373896599,3.906250185536919e-06,41,
0.9995588064193726,0.0016503167571499944,0.9994117617607117,0.002564498921856284,3.906250185536919e-06,42,
