accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,lr
0.8809558749198914,0.38843879103660583,0.9729411602020264,0.09008820354938507,0.0010000000474974513,1,
0.9798529148101807,0.06699591130018234,0.9820588231086731,0.07103754580020905,0.0010000000474974513,2,
0.9854411482810974,0.043002426624298096,0.9814705848693848,0.06291241943836212,0.0010000000474974513,3,
0.9912499785423279,0.02837122231721878,0.9864705801010132,0.04968513548374176,0.0010000000474974513,4,
0.9931617379188538,0.022803423926234245,0.9879412055015564,0.0431814044713974,0.0010000000474974513,5,
0.9958823323249817,0.014919955283403397,0.9902940988540649,0.039230771362781525,0.0010000000474974513,6,
0.9953676462173462,0.015574829652905464,0.9826470613479614,0.05995923653244972,0.0010000000474974513,7,
0.9971323609352112,0.008574816398322582,0.9897058606147766,0.0428723506629467,0.0010000000474974513,8,
0.9972794055938721,0.007895657792687416,0.9797058701515198,0.08733649551868439,0.0010000000474974513,9,
0.9987499713897705,0.004262160509824753,0.9905882477760315,0.038801152259111404,0.0005000000237487257,10,
0.9998529553413391,0.001311538740992546,0.9914705753326416,0.03617553040385246,0.0005000000237487257,11,
0.9997059106826782,0.0012755441712215543,0.9908823370933533,0.04131929576396942,0.0005000000237487257,12,
0.9999264478683472,0.000847220653668046,0.9914705753326416,0.037549130618572235,0.0005000000237487257,13,
1.0,0.0003325456054881215,0.9917647242546082,0.037963587790727615,0.0005000000237487257,14,
0.9999264478683472,0.00036103479214943945,0.9911764860153198,0.039160918444395065,0.0005000000237487257,15,
1.0,0.0002560440043453127,0.9911764860153198,0.04154288023710251,0.0005000000237487257,16,
1.0,0.00017685064813122153,0.9908823370933533,0.04224393144249916,0.0005000000237487257,17,
1.0,0.0001447847462259233,0.9908823370933533,0.041785430163145065,0.0002500000118743628,18,
1.0,0.0001321908348472789,0.9905882477760315,0.04249677434563637,0.0002500000118743628,19,
1.0,0.0001238360709976405,0.9905882477760315,0.042520374059677124,0.0002500000118743628,20,
1.0,0.00011233871191507205,0.9908823370933533,0.04267796501517296,0.0001250000059371814,21,
1.0,0.0001074435276677832,0.9905882477760315,0.04320213198661804,0.0001250000059371814,22,
1.0,0.00010397544974694028,0.9908823370933533,0.042985476553440094,0.0001250000059371814,23,
1.0,9.716380736790597e-05,0.9905882477760315,0.043201860040426254,6.25000029685907e-05,24,
1.0,9.490169759374112e-05,0.9905882477760315,0.04328281804919243,6.25000029685907e-05,25,
1.0,9.27099899854511e-05,0.9905882477760315,0.04337567090988159,6.25000029685907e-05,26,
1.0,8.943144348450005e-05,0.9905882477760315,0.04347384721040726,3.125000148429535e-05,27,
1.0,8.819227514322847e-05,0.9905882477760315,0.04368601366877556,3.125000148429535e-05,28,
1.0,8.658949082018808e-05,0.9905882477760315,0.04384857043623924,3.125000148429535e-05,29,
